成员, 贡献排行, 贡献本周, 战功本周, 助攻本周, 捐献本周, 贡献总量, 战功总量, 助攻总量, 捐献总量, 势力值, 所属州, 分组
天无涯,290,149588,8775,6895,12850422,149588,8775,6895,12850422,6443, 长安, 特勤营
刀无情,285,109119,8837,5648,7822454,109119,8837,5648,7822454,5046, 长安, 特勤营
月无眠,288,103246,0,4340,6573440,103246,0,4340,6573440,7742, 长安, 特勤营
雪無痕,289,93658,0,4137,9198955,93658,0,4137,9198955,6766, 长安, 特勤营
魅无双,292,83812,0,3800,8230000,83812,0,3800,8230000,5606, 扶风, 特勤营
剑無情,287,83555,0,5208,8230000,267040,0,5208,8230000,5260, 扶风, 特勤营
风无影,296,59076,0,665,5907623,59076,0,665,5907623,6293, 扶风, 特勤营
浪无羁,293,58993,0,2646,5490701,58993,0,2646,5490701,6680, 长安, 特勤营
荆無命,294,1668,34,1330,0,1668,34,1330,0,2512, 京兆北, 特勤营
廉展硕丿戰,299,0,0,350,0,2343,0,350,0,790, 冯翊, 特勤营
测试2,,,,,,,0,,,,,测试1团
测试3,,,,,,,999999,,,,,测试1团
