成员, 贡献排行, 贡献本周, 战功本周, 助攻本周, 捐献本周, 贡献总量, 战功总量, 助攻总量, 捐献总量, 势力值, 所属州, 分组
思源丶盯裆猫,176,57962022,132455,9814,203092,60541337,132455,9814,203092,21380, 长安, 思源团
金麟丨巧克力,42,57859961,249852,57564,204290,62749288,249852,57564,204290,27720, 长安, 金麟团
金麟丨放棄,131,57628115,165250,37715,221127,60856161,165250,37715,221127,23090, 长安, 金麟团
無雙丿烤红薯,165,57624824,133642,29589,211996,63829787,133642,29589,211996,27600, 长安, 双魂团
毒曲小老弟,94,57517990,214099,19800,201827,57517990,214099,19800,201827,25090, 长安, 绝对领域
天神丨一页书,89,57404632,237136,26095,197618,63301366,237136,26095,197618,23690, 长安, 天神团
朴正欢,116,56938770,164368,30988,404140,56938770,164368,30988,404140,28120, 长安, 绝对领域
金麟丨池中物,101,56243135,195363,17684,229630,60824755,195363,17684,229630,27490, 长安, 金麟团
戰魂丨黑白键,80,55972524,205012,17569,204225,62015577,205012,17569,204225,28310, 京兆北, 双魂团
托塔天王晁盖,39,55930792,331933,21202,200133,61100533,331933,21202,200133,24260, 长安, 绝对领域
天神丨齊,139,55915461,150265,17941,210939,61206639,150265,17941,210939,23790, 京兆北, 天神团
天神丨一頁书,231,55806548,102141,11007,443572,55806548,102141,11007,443572,21163, 京兆北, 天神团
天神丨星空,91,55565808,213321,16966,387282,62956824,213321,16966,387282,28536, 长安, 天神团
思源丶北堂,47,55526793,282519,23802,206167,62990956,282519,23802,206167,26690, 长安, 思源团
金麟丨小哥,186,54954460,107466,23847,218403,58003797,107466,23847,218403,21020, 京兆北, 金麟团
思源丶孙吴,50,54857170,267855,27764,304499,54857170,267855,27764,304499,23583, 长安, 思源团
天神丨闻仲,81,54623954,197842,11464,314337,54624420,197842,11464,314337,27913, 长安, 天神团
無雙丿夏侯青,92,54515385,208757,18196,207859,62403460,208757,18196,207859,27490, 长安, 双魂团
天神丨容嬷嬷,75,54412688,206823,23094,201651,60707254,206823,23094,201651,27763, 长安, 天神团
戰魂丨风云,127,54345368,159835,35915,414545,59785188,159835,35915,414545,27520, 长安, 双魂团
思源丶踏凌霄,77,54193387,230028,20443,310977,58768872,230028,20443,310977,24320, 长安, 思源团
戰魂丨豪饮,129,54002558,159345,23627,254938,59490975,159345,23627,254938,25100, 长安, 双魂团
金麟丨敵敵畏,168,53209222,136353,19464,421242,60682202,136353,19464,421242,23440, 京兆北, 金麟团
天神丨无心,44,52594555,295728,27764,408308,54097416,295728,27764,408308,27280, 长安, 天神团
成公成公,126,52479874,171341,14588,200876,57623785,171341,14588,200876,27500, 长安, 绝对领域
金麟丨小孕猫,194,52463345,95682,21751,201933,60202712,95682,21751,201933,28070, 京兆北, 金麟团
金麟丨张萧成,137,52252768,132152,52016,282315,58245980,132152,52016,282315,23710, 长安, 金麟团
金麟丨糕糕,70,52091385,216751,24390,414106,57159780,216751,24390,414106,22890, 京兆北, 金麟团
無雙丿哀木涕,128,51827019,212173,21137,408261,58685304,212173,21137,408261,21720, 长安, 双魂团
青梅小老弟,122,51597294,164747,26711,209746,56702615,164747,26711,209746,18160, 京兆北, 绝对领域
天神丨时光,203,51537228,100981,15726,209999,57581201,100981,15726,209999,23320, 京兆北, 天神二团
天神丨王德发,212,50854833,95848,22638,256454,55955760,95848,22638,256454,21870, 京兆北, 天神二团
金麟丨枪不倒,225,50780555,77141,23109,235482,54980644,77141,23109,235482,22530, 京兆北, 金麟团
懒觉小老弟,145,50519939,160637,9681,208270,50519939,160637,9681,208270,23000, 京兆北, 绝对领域
戰魂丨公羊,158,50076096,138801,18114,401772,58042338,138801,18114,401772,22660, 京兆北, 双魂团
戰魂丨贪婪,130,50042718,197818,12905,305698,57439674,197818,12905,305698,26790, 长安, 双魂团
天神丨小钻风,254,49854889,43381,20913,290620,53508368,43381,20913,290620,17520, 京兆北, 天神二团
戰魂丨菠菠,157,49693041,146569,22108,213275,54662934,146569,22108,213275,21650, 京兆北, 双魂团
天神丨颜兮,87,49635699,203462,16051,203752,49636563,203462,16051,203752,28340, 长安, 天神团
戰魂丨鱼仔,267,49535363,35637,6235,0,51702535,35637,6235,0,21430, 京兆北, 未分组
思源丶踏空熊,156,49471132,153262,17166,210379,55206915,153262,17166,210379,26520, 长安, 思源团
無雙丿鴻鼠,121,49390800,172539,19628,202939,56239555,172539,19628,202939,27540, 长安, 双魂团
天神丨爆爆,106,49335588,174760,23372,210331,55452615,174760,23372,210331,26110, 京兆北, 天神团
金麟丨如意,188,49220881,128371,24391,416563,49220881,128371,24391,416563,20180, 京兆北, 金麟团
無雙丿风起,150,49066631,156791,15173,205693,54434634,156791,15173,205693,22450, 长安, 双魂团
戰魂丨想她,174,48757273,162200,28211,201134,52540056,162200,28211,201134,20490, 京兆北, 双魂团
天神丨一頁書,104,48704256,181831,22232,204131,54068543,181831,22232,204131,27410, 长安, 天神团
無雙丿和为贵,102,48518291,190406,24096,216464,55153843,190406,24096,216464,24980, 长安, 双魂团
天神丨雷禅,60,48413316,235778,32384,198918,52566896,235778,32384,198918,19823, 京兆北, 天神团
天神丨小铞毛,100,48252174,281670,12501,203027,48252174,281670,12501,203027,23160, 长安, 天神团
無雙丿楼长,95,47856767,204633,31370,247460,54984213,204633,31370,247460,25750, 长安, 双魂团
戰魂丨無名,204,47765167,91759,34896,401951,53151126,91759,34896,401951,23260, 京兆北, 双魂团
無雙丿等风来,184,47727819,170261,27180,620682,53223455,170261,27180,620682,20950, 京兆北, 双魂团
無雙丿cm,144,47712196,215089,30791,203606,51764288,215089,30791,203606,22380, 长安, 双魂团
青面兽痒止,172,47531187,129661,13048,215307,48633122,129661,13048,215307,23580, 京兆北, 绝对领域
思源丶阿满,63,47456135,253426,17595,203094,50361305,253426,17595,203094,26050, 长安, 思源团
天神丨星辰,142,47177286,163574,26601,222397,53109240,163574,26601,222397,24989, 京兆北, 天神团
天神丨牛人,135,46981296,156496,19693,370886,53980711,156496,19693,370886,20180, 长安, 天神团
茶杯里洗澡,143,46528329,161832,13472,201412,52146908,161832,13472,201412,27850, 长安, 绝对领域
金麟丨迪西,103,46502556,200973,22063,205120,51937835,200973,22063,205120,20706, 长安, 金麟团
金麟丨公良,151,46081581,182613,20348,404712,46081581,182613,20348,404712,21460, 京兆北, 金麟团
天神丨思樂冰,117,45664473,173084,20078,719930,50007347,173084,20078,719930,23150, 京兆北, 天神团
思源丶虎叔,118,45592623,180580,18717,206098,51422888,180580,18717,206098,23000, 长安, 思源团
天神丨哲元,149,45235297,123212,29987,240303,51459713,123212,29987,240303,22856, 京兆北, 天神团
烽火丨霸气,110,45185586,189666,28812,200504,49995652,189666,28812,200504,21510, 京兆北, 绝对领域
無雙丿平躺,173,44917630,169551,44917,217238,44917630,169551,44917,217238,22740, 长安, 双魂团
金麟子怡龙丘,72,44914412,151325,49449,213923,51415793,151325,49449,213923,24756, 长安, 金麟团
成天哈哈哈,119,44865075,158456,19106,413627,47205706,158456,19106,413627,22940, 京兆北, 绝对领域
金麟丨CY,148,44663481,137191,28093,202531,48754315,137191,28093,202531,22430, 京兆北, 金麟团
