成员, 贡献排行, 贡献本周, 战功本周, 助攻本周, 捐献本周, 贡献总量, 战功总量, 助攻总量, 捐献总量, 势力值, 所属州, 分组
廉展硕丨戰,242,0,0,0,0,76567819,297929,38136,14694,20039, 长安, 特勤营
金麟丨少典,18,0,0,0,0,183708108,1550773,51020,1648605,35410, 长安, 金麟团
廉展碩,1,56520,1131,0,0,214868960,2613608,33661,1410556,35340, 长安, 金麟团
金麟丨老猫,40,0,0,0,0,166764401,1211008,16689,1422801,37790, 长安, 金麟团
金麟丨姣姣,154,0,0,0,0,74831827,616937,32598,2303229,30060, 长安, 金麟团
思源丶天明,138,0,0,0,0,87101852,647478,27856,2253013,27470, 长安, 思源团
金麟丨唐伯虎,60,0,0,0,0,139447731,1015551,33958,1611848,35010, 长安, 金麟团
天神丨幸运星,26,0,0,0,0,141675976,1455547,50268,1665698,34200, 长安, 天神团
天神丨鱼少,9,0,0,0,0,177545250,2099394,29032,1425254,34650, 长安, 天神团
戰魂丨甘志豪,63,0,0,0,0,123017229,1059863,22441,1220152,34590, 长安, 双魂团
小旋风柴進,39,0,0,0,0,150887241,1242628,47812,2006687,30610, 长安, 绝对领域
戰岚丨纹章,159,0,0,0,0,96778044,589235,18183,742845,36752, 长安, 九歌团
思源丶大炮,59,0,0,0,0,135279811,1020580,30097,2368070,29930, 长安, 思源团
天神丨曹孟德,5,0,0,0,0,201937333,2298372,28732,1521564,37610, 长安, 天神团
無雙丿随心,158,0,0,0,0,99281806,597915,32713,1858610,31400, 长安, 双魂团
至臻炒肉面,143,0,0,0,0,111657292,662645,15675,2025748,28790, 长安, 绝对领域
思源丶清欢,3,0,0,0,0,206849761,2422379,33983,1405736,40220, 长安, 思源团
思源丶撞奶姜,55,0,0,0,0,156751826,1076269,18564,1201472,32200, 长安, 思源团
青梅小老弟,164,773175,0,0,0,102345195,688707,51167,2641611,25190, 长安, 绝对领域
戰魂丨风無言,218,399270,0,0,0,98037181,508197,45892,6743509,29070, 长安, 双魂团
戰魂丨鱼仔,265,245910,4919,0,0,125794515,257455,8403,248000,28910, 长安, 迁城消极
戰魂丨想她,172,242262,4846,0,0,97612034,682213,44543,2076340,26000, 长安, 双魂团
戰魂丨菠菠,123,225033,4502,0,0,101766545,724282,29071,1235376,30710, 长安, 双魂团
天策丨炎龙魂,272,201351,4029,0,0,87793505,171973,4097,1555635,28210, 京兆北, 迁城消极
思源丶老妖魔,44,124581,2493,0,0,146619116,1202159,36816,2431166,31900, 长安, 思源团
青面兽痒止,162,102924,2060,0,0,92868114,576325,15232,2036806,29310, 长安, 绝对领域
思源丶无仙桃,36,74406,1489,0,0,171797918,1310863,22595,1409532,34360, 长安, 思源团
思源丶刘彬,70,41409,829,0,0,119369436,994723,24097,861215,33540, 长安, 思源团
戰岚丨佐住哥,256,40209,805,0,0,33296800,281679,12875,1427988,23860, 长安, 九歌团
金麟丨欧诺,201,0,0,0,0,82371407,667344,66453,2126022,30760, 长安, 九歌团
流沙丨CFF,216,0,0,0,0,89324023,418225,36978,1987247,25210, 长安, 绝对领域
桃花l伊拾壹,250,0,0,0,0,70435372,406881,43315,2107405,23180, 长安, 绝对领域
墨客丨向西,251,0,0,0,0,111581791,309242,5038,1494658,30790, 长安, 九歌团
思源丶童虎,57,0,0,0,0,139248053,1013842,77257,1613613,34290, 长安, 思源团
亲鸽鸽,157,0,0,0,0,86025207,604188,8850,814288,34070, 长安, 九歌团
思源丶盖地虎,37,0,0,0,0,170662576,1280486,27433,1409820,37210, 长安, 思源团
天神丨农夫,284,0,0,0,0,29968817,235369,26990,35176564,22910, 长安, 九歌团
天神丨齊,120,0,0,0,0,111974491,726201,21301,1116227,31980, 长安, 天神团
思源丶公子陌,175,0,0,0,0,77977572,509587,24128,207829,24050, 长安, 九歌团
貔貅小老弟,65,0,0,0,0,120757132,1036262,27229,2221217,32410, 长安, 绝对领域
天神丨南宫霆,64,0,0,0,0,119881904,1051573,19565,1664502,28496, 长安, 天神团
戰魂丨黑白键,106,0,0,0,0,119700423,790560,27303,1589546,34020, 长安, 双魂团
天神丨铺路,299,0,0,0,0,5061324,47045,864,3225793,15220, 京兆北, 迁城消极
金麟丨宇宙,247,0,0,0,0,86329377,380696,34609,1951946,20323, 京兆北, 金麟团
戰魂丨黑茶,87,0,0,0,0,122593870,1041026,29465,1315678,34130, 长安, 双魂团
戰魂丨豪饮,110,0,0,0,0,113820789,805893,39409,2044984,29340, 长安, 双魂团
明丨如火如荼,283,0,0,0,0,30471496,83120,7737,412239,19393, 长安, 迁城消极
天神丨牛人,118,0,0,0,0,120550728,731796,25260,2013431,29850, 长安, 天神团
天神丨吕北萧,58,0,0,0,0,128988745,1015486,60440,960590,31723, 长安, 天神团
戰魂丨空空,191,0,0,0,0,74740437,492674,28011,2560424,29850, 长安, 双魂团
思源丶靓仔,240,0,0,0,0,73867899,331592,20145,2393599,26900, 长安, 未分组
放学小老弟,90,0,0,0,0,126103802,902939,12743,1595841,31710, 长安, 绝对领域
毒曲小老弟,74,0,0,0,0,109408341,975682,41864,1405426,29913, 长安, 绝对领域
懒觉小老弟,171,0,0,0,0,87473370,539948,12102,208270,26230, 长安, 绝对领域
月无眠,296,0,0,0,0,252953,0,4340,21544171,7742, 长安, 特勤营
吾身骑白马,98,0,0,0,0,108196226,827855,27485,1405671,30713, 长安, 九歌团
金麟丨敵敵畏,167,0,0,0,0,112508324,577354,26057,1841387,29340, 长安, 金麟团
天神丨深几许,25,0,0,0,0,168768752,1462044,37143,1418620,34540, 长安, 天神团
戰魂丨最问情,222,0,0,0,0,93182861,465482,55909,2212182,30520, 长安, 双魂团
青石小老弟,181,0,0,0,0,67851189,482276,26218,1609937,24330, 长安, 绝对领域
戰岚丨风無息,244,0,0,0,0,61238894,386155,27869,2323615,26443, 长安, 九歌团
金紫泳,224,0,0,0,0,67968146,422305,31281,2052931,28560, 长安, 绝对领域
天神丨秋風,7,0,0,0,0,200966426,2194785,37062,1147565,37270, 长安, 天神团
金麟丨锺景行,169,0,0,0,0,87211651,534047,46392,1404470,27350, 长安, 金麟团
金麟丨山海,95,0,0,0,0,155709110,929812,43008,1523205,33930, 长安, 金麟团
無雙丿夢魘,134,0,0,0,0,100737802,702646,21911,1403814,31966, 长安, 双魂团
烽火丨神走位,257,0,0,0,0,98820256,389761,11556,2820960,25460, 京兆北, 绝对领域
思源丶踏空熊,131,0,0,0,0,103377324,691582,27152,1459402,29910, 长安, 思源团
金麟子怡龙丘,107,0,0,0,0,108477724,720311,59943,1689321,31373, 长安, 金麟团
思源丶丞钧,19,0,0,0,0,162896949,1607157,7066,1294310,36090, 长安, 思源团
思源丨王道,278,0,0,0,0,55532786,213353,31057,9953067,20036, 长安, 九歌团
戰岚丨Leo,152,0,0,0,0,117129644,671257,34579,2089453,32216, 长安, 金麟团
烽火丨百味,260,0,0,0,0,73782373,359044,36377,2018198,29690, 长安, 绝对领域
金麟丨如意,187,0,0,0,0,103256168,567018,36950,1813338,29480, 长安, 金麟团
天神丨小刚蛋,273,0,0,0,0,66968908,218286,10004,2600686,23130, 长安, 迁城消极
思源丶洛克李,207,0,0,0,0,76606435,538912,22327,2932512,27400, 长安, 思源团
羊村牛牛,280,0,0,0,0,38704263,103563,1762,3031356,25930, 长安, 迁城消极
思源丶大G哥,69,0,0,0,0,137468367,1028219,17508,1274740,32600, 长安, 思源团
思源丶小白,97,0,0,0,0,115300380,843658,33830,1427390,34100, 长安, 思源团
地魂星石勇,271,0,0,0,0,85299802,187083,2956,1684561,27310, 长安, 九歌团
天神丨星辰,125,0,0,0,0,124219121,807652,47085,3361421,34803, 长安, 天神团
戰丿廉展硕,252,0,0,0,0,77195237,301554,14795,289969,17713, 长安, 特勤营
天神丨一页书,114,0,0,0,0,102714986,860697,47982,2512073,29020, 长安, 天神团
無雙丿飓风,91,0,0,0,0,132830515,885066,25321,908234,33830, 长安, 双魂团
思源丶凹凸曼,77,0,0,0,0,121771928,971500,19689,791434,32900, 长安, 思源团
天神丨时光,226,0,0,0,0,84638482,378765,18110,978204,26160, 长安, 九歌团
無雙丿烤红薯,150,0,0,0,0,123570460,651769,38540,1849588,34230, 长安, 双魂团
思源丶辰汐,204,0,0,0,0,70665653,419865,27517,2804377,24500, 长安, 思源团
源神丶老虎,285,0,0,0,0,33132598,38249,1836,3490289,15656, 长安, 九歌团
寿無疆,287,0,0,0,0,5231256,0,0,17376205,9680, 扶风, 特勤营
戰魂丨無名,184,0,0,0,0,85521533,479704,64442,1615939,28270, 长安, 双魂团
金麟丨公良,147,0,0,0,0,105576307,760393,43123,1632848,28600, 长安, 金麟团
戰岚丨破阵子,195,0,0,0,0,81265218,438008,17266,3007661,27786, 长安, 九歌团
金鳞丨龙梦,214,0,0,0,0,82530925,409358,23568,1785215,26080, 长安, 金麟团
神武丨上官逸,277,0,0,0,0,40090839,132740,30237,509849,16836, 长安, 九歌团
天神丨棋侍,268,0,0,0,0,57924528,268232,29612,21340063,24350, 长安, 九歌团
思源丶陈桂林,270,0,0,0,0,86211912,257809,24682,8936442,20770, 长安, 九歌团
戰无常,286,0,0,0,0,16414201,17248,2542,3804109,10942, 长安, 特勤营
思源丶太陽能,14,0,0,0,0,176491726,1787236,23715,1402178,34760, 长安, 思源团
思源丶清花醉,119,0,0,0,0,107604115,797209,12120,2333818,28010, 长安, 思源团
金麟丨皮皮,237,0,0,0,0,62855471,555317,35373,5172906,23110, 长安, 金麟团
極丨闲王很忙,235,0,0,0,0,87171756,450361,34036,2024415,26100, 长安, 绝对领域
金麟丨极乐汤,88,0,0,0,0,138411302,961347,35613,2018161,30090, 长安, 金麟团
天神丨养猪,78,0,0,0,0,141614979,956685,23822,3260288,31880, 长安, 天神团
思源丶孙吴,85,0,0,0,0,122317495,968982,41139,2119082,31110, 长安, 思源团
思源丶獨孤,239,0,0,0,0,48073274,441588,37515,824719,23850, 长安, 思源团
思源丶皮球,51,0,0,0,0,135145163,1124954,33864,1410640,30660, 长安, 思源团
戰魂丨帅帅,100,0,0,0,0,115457293,813716,36052,1412195,31230, 长安, 双魂团
無雙丿醉逍遥,215,0,0,0,0,84285445,552577,44401,2009352,27560, 长安, 双魂团
朴正欢,81,0,0,0,0,139045030,905821,48690,2020380,34120, 长安, 绝对领域
霹雳火玄天宗,228,0,0,0,0,58962474,386220,8548,1426788,27810, 长安, 绝对领域
天神丨思樂冰,136,0,0,0,0,99431830,668926,24626,1959655,27543, 长安, 天神团
思源丶北堂,33,0,0,0,0,135562471,1304914,52877,2807560,30090, 长安, 思源团
金麟丨张萧成,149,0,0,0,0,103001883,612493,68595,1707432,28625, 长安, 金麟团
成天哈哈哈,145,0,0,0,0,88372869,602883,30433,1338292,28990, 长安, 绝对领域
思源丶渔大师,29,0,0,0,0,144403945,1362431,22051,1210239,29740, 长安, 思源团
戰魂丨风云,111,0,0,0,0,107759035,756080,76886,2460869,29170, 长安, 双魂团
戰魂丨始皇,83,0,0,0,0,130354462,919575,19501,550565,27800, 长安, 双魂团
金麟丨糕糕,140,0,0,0,0,102377950,625921,29772,2276511,27670, 长安, 金麟团
天神丨穷光蛋,269,0,0,0,0,49034156,310265,39525,2736834,18123, 长安, 迁城消极
戰岚丨九天,178,0,0,0,0,81252509,514378,18300,2579724,31440, 长安, 九歌团
思源丶星辰,89,0,0,0,0,144905209,863657,26772,1586565,37293, 长安, 思源团
無雙丿夏侯青,103,0,0,0,0,108659867,816294,22725,1834400,30210, 长安, 双魂团
思源丶盯裆猫,153,0,0,0,0,103389811,617744,13984,2395844,22810, 长安, 思源团
天神丨星空,132,0,0,0,0,93798212,695877,28749,1571744,30120, 长安, 天神团
军机丨子路,177,0,0,0,0,74106746,518502,11741,2008921,28250, 长安, 绝对领域
戰魂丨暴怒,86,0,0,0,0,120829391,985518,57540,1244308,32760, 长安, 双魂团
戰魂丨催奶师,46,0,0,0,0,144797961,1291499,40146,1840865,34280, 长安, 双魂团
天神丨南宫宸,41,0,0,0,0,128638955,1250183,22018,1682733,28490, 长安, 天神团
天神丨金城武,248,0,0,0,0,38166694,470814,26918,2593098,23684, 长安, 九歌团
天神丨玖歌,267,0,0,0,0,44800644,182418,11739,4107921,18623, 京兆北, 迁城消极
戰岚丨大鲸鱼,211,0,0,0,0,78156219,415350,12558,823257,28110, 长安, 九歌团
思源丶山水,34,0,0,0,0,166667358,1301506,44791,804870,39000, 长安, 思源团
天神丨迷人哥,13,0,0,0,0,184523454,1833028,28282,1323340,35950, 长安, 天神团
混江龙丨李俊,236,0,0,0,0,71429990,376083,37701,2120780,28320, 长安, 绝对领域
天神丨无心,52,0,0,0,0,116984708,1097525,34312,2958941,31020, 长安, 天神团
無雙丿和为贵,92,0,0,0,0,112141143,866470,32211,1858428,31870, 长安, 双魂团
烽火丨燎原,82,0,0,0,0,148356078,1034191,31552,1707686,32970, 长安, 绝对领域
天神丨三更,170,0,0,0,0,72050092,521830,28306,2446791,27070, 长安, 天神团
思源丶凡人,275,0,0,0,0,60460209,151100,18051,850023,24940, 长安, 迁城消极
